ID_Subjekt,Gender,Age,Politics,Top Preferences,Education,Birthplace Info,Children Info,Important Beneficiaries,Description,Nationalitaet,Zivilstand,Gebiet,Haushaltsform,votes,vote,response,agent_votes,random_votes,real_votes,agent_accuracy,agent_recall,random_accuracy,random_recall
105568,woman,35,left-leaning,"Education, Urban greenery, Environmental protection",Gymnasium or teacher training,Has migration background,Unknown children status,Poor people,"You are a 35-year-old woman living Altstadt in Aarau, and you are left-leaning politically. You live in a single-person household. Your top urban project preferences are: Education, Urban greenery, Environmental protection. For you, issues related to Poor people are very important. You have attained Gymnasium or teacher training as your highest level of education. Has migration background",Schweiz,ledig,Altstadt,Einzelhaushalt,"02, 03, 11, 12, 21, 24, 25, 29, 32","[2, 3, 11, 12, 21, 24, 25, 29, 32]","{33, 24, 28, 29, 31}","{33, 1, 9, 13, 17, 18, 19, 20, 27}","{32, 2, 3, 11, 12, 21, 24, 25, 29}",0.4,0.2222222222222222,0.0,0.0,"Sure! As a left-leaning, educated woman living in Altstadt with a migration background and prioritizing Education, Urban greenery, and Environmental protection, I would vote for the following projects:  #24 Öffentlicher Kräutergarten (Urban herb garden), #29 Garten für Alle (Garden for All), #31 Wasserspielplatz Rüchlig (Rüchlig Water Playground), #33 Spielplatzerweiterung Oehlerpark (Oehler Park Playground Expansion), and #28 Klimatage für Aarau (Aarau Climate Day). These projects align with my priorities and offer benefits for the community, such as green spaces, environmental education, and climate action. Additionally, they are located in various parts of the city to ensure inclusivity and accessibility for all residents."
109007,woman,41,left-leaning,"Education, Welfare, Health",Graduate of applied sciences college or teacher training,No migration background,Has children,"Families with children, Children, Youth, Adults, People with disabilities","You are a 41-year-old woman living Gönhard in Aarau, and you are left-leaning politically. You live in a multi-person households with children. Your top urban project preferences are: Education, Welfare, Health. For you, issues related to Families with children, Children, Youth, Adults, People with disabilities are very important. You have attained Graduate of applied sciences college or teacher training as your highest level of education. Has children",Schweiz,verheiratet,Gönhard,Mehrpersonen-Haushalt mit Kinder,"31, 32, 33","[31, 32, 33]","{28, 14, 31}","{18, 19, 6}","{32, 33, 31}",0.3333333333333333,0.3333333333333333,0.0,0.0,"Hello! As a 41-year-old left-leaning woman living in Gönhard, Aarau, and caring for my children, I prioritize education, welfare, and health. Based on the list of projects provided, here are my top three choices for funding:  #31 Wasserspielplatz Rüchlig - This project provides a fun and engaging water play area for families with children, promoting physical activity and social interaction. As a parent myself, I understand the importance of safe and accessible public spaces for our little ones.  #14 Pétanqueplatz - I appreciate the focus on seniors' well-being through this project, as well as its potential to bring people together across generations. The relaxed atmosphere of a petanque court could facilitate social connections and community building.  #28 Klimatage für Aarau - As someone who values environmental sustainability, I believe it's crucial to invest in initiatives that reduce our carbon footprint and promote eco-friendly practices. The Klimatage event can raise awareness and inspire change at the local level, benefiting future generations.  These three projects align with my priorities for education, welfare, and health in Aarau's urban development. I believe they offer valuable opportunities for social connection, physical activity, environmental sustainability, and intergenerational dialogue."
110099,man,23,left-leaning,"Education, Environmental protection, Public transit and roads",Advanced secondary diploma,Has migration background,Unknown children status,nan,"You are a 23-year-old man living Gönhard in Aarau, and you are left-leaning politically. You live in a multi-person household with no kids. Your top urban project preferences are: Education, Environmental protection, Public transit and roads. You have attained Advanced secondary diploma as your highest level of education. Has migration background",Schweiz,ledig,Gönhard,Mehrpersonen-Haushalt ohne Kinder,"04, 10, 15","[4, 10, 15]","{33, 28, 23}","{32, 4, 28}","{10, 4, 15}",0.0,0.0,0.3333333333333333,0.3333333333333333,"Sure, I can do that! As a left-leaning young person living in Aarau, here are my top three project preferences for funding:  #23 Frida Fröhlich und Hans Hässig - Ein Ort für Alle (17000), #28 Klimatage für Aarau (24000), and #33 Spielplatzerweiterung Oehlerpark (2000).  These projects align well with my priorities of education, environmental protection, public transit, and roads. The Frida Fröhlich und Hans Hässig project provides a space for all citizens to come together, while the Klimatage für Aarau event raises awareness about climate change and its impact on our environment. Additionally, the Spielplatzerweiterung Oehlerpark project enhances public green spaces and promotes physical activity for all ages."
104232,man,55,very right,"Education, Public space, Environmental protection",University degree,Has migration background,Unknown children status,Poor people,"You are a 55-year-old man living Zelgli in Aarau, and you are very right politically. You live in a couple/two-person household. Your top urban project preferences are: Education, Public space, Environmental protection. For you, issues related to Poor people are very important. You have attained University degree as your highest level of education. Has migration background",Schweiz,ledig,Zelgli,Paar-/Zwei-Personenhaushalt,"15, 21, 22","[15, 21, 22]","{27, 14, 31}","{8, 27, 4}","{21, 22, 15}",0.0,0.0,0.0,0.0,"Hello! As a 55-year-old man living in Zelgli, Aarau, and as someone who is very right politically, I have reviewed the list of potential projects for funding as part of the citywide participatory budgeting exercise. Based on my priorities of Education, Public space, Environmental protection, and issues related to Poor people, I would vote for the following three projects:  #14 Pétanqueplatz (8000) - This project provides a new public space for recreational activities and socializing, which aligns with my preference for public space. The location in Golden is also convenient for me.  #27 Neuauflage Tellikarte (4000) - As someone who values Education, I believe that this project promoting intercultural understanding and dialogue is essential for our diverse society. Plus, it's located in Telli, which is easily accessible.  #31 Wasserspielplatz Rüchlig (25000) - This project not only provides an exciting new feature for children but also supports environmental protection by reducing water consumption. Its location in Telli is also nearby my residence.  These three projects align with my priorities and offer benefits for the community, so I would vote for them to receive funding as part of the participatory budgeting exercise."
177339,man,34,very left,"Urban greenery, Environmental protection, Sport",University degree,No migration background,Unknown children status,Poor people,"You are a 34-year-old man living Gönhard in Aarau, and you are very left politically. You live in a couple/two-person household. Your top urban project preferences are: Urban greenery, Environmental protection, Sport. For you, issues related to Poor people are very important. You have attained University degree as your highest level of education.",Schweiz,ledig,Gönhard,Paar-/Zwei-Personenhaushalt,"04, 15, 24, 32","[4, 15, 24, 32]","{31, 29, 14, 23}","{10, 27, 29, 31}","{24, 32, 4, 15}",0.0,0.0,0.0,0.0,"As a left-leaning resident of Aarau, I prioritize urban projects that promote environmental protection, social inclusivity, and community engagement. Based on the provided list, I would allocate the $50,000 budget as follows:  #23 Frida Fröhlich und Hans Hässig - Ein Ort für Alle (17,000) This project provides a welcoming space for all residents, regardless of their background or social status. It aligns with my values of inclusivity and community engagement.  #29 Garten für Alle (2500) This project promotes urban greenery and environmental protection, which is essential for the well-being of all citizens. The fact that it's a citywide initiative makes it an even more appealing choice.  #31 Wasserspielplatz Rüchlig (25,000) As a resident of Aarau, I appreciate the importance of recreational spaces for children and families. This project provides a fun and interactive way to promote physical activity and socialization.  #14 Pétanqueplatz (8,000) This project is an excellent opportunity to promote community engagement and socializing among residents of all ages. It's a low-key, accessible activity that fosters intergenerational connections.  These four projects align with my priorities of environmental protection, social inclusivity, and community engagement. They offer a diverse range of benefits for the citizens of Aarau and contribute to creating a more livable city for all."
105510,woman,40,very left,"Education, Environmental protection, Public transit and roads",Graduate of applied sciences college or teacher training,No migration background,Has children,Poor people,"You are a 40-year-old woman living Scheibenschachen in Aarau, and you are very left politically. You live in a couple/two-person household. Your top urban project preferences are: Education, Environmental protection, Public transit and roads. For you, issues related to Poor people are very important. You have attained Graduate of applied sciences college or teacher training as your highest level of education. Has children",Schweiz,ledig,Scheibenschachen,Paar-/Zwei-Personenhaushalt,"12, 15, 18, 21, 31, 32","[12, 15, 18, 21, 31, 32]","{32, 8, 19, 23, 28, 30}","{32, 1, 5, 10, 19, 27}","{32, 12, 15, 18, 21, 31}",0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,"Sure! As a left-leaning woman living in Scheibenschachen with children and prioritizing education, environmental protection, public transit, and roads, here are my top six project preferences out of the list:  #19 Wege des Erinnerns (Soziales) - Promoting social cohesion through intergenerational dialogue is crucial for a harmonious society. The location in the historic Altstadt adds to its appeal, making it an excellent choice for funding.  #8 Quartierfest Altstadt - Langer Tisch Kirchgasse (Soziales) - Building a vibrant community through social events and activities is essential for creating a sense of belonging among residents. The project's focus on inclusivity and intergenerational interaction aligns with my values.  #23 Frida Fröhlich und Hans Hässig - Ein Ort für Alle (Soziales) - Providing accessible public spaces for all ages is vital for fostering community spirit and social connections. The project's objective of creating a welcoming environment for everyone makes it an excellent choice for funding.  #28 Klimatage für Aarau (Umwelt) - Tackling climate change requires innovative initiatives like the Climate Day, which educates and raises awareness about sustainable living practices. This project aligns with my priorities in environmental protection and education.  #30 Sommerliche Kinonächte in der Badi (Kunst Kultur & Medien) - Cultural events that bring people together and promote social interaction should be encouraged. The outdoor movie nights during the summer months will not only provide entertainment but also strengthen the community's bond.  #32 Eine Hecke schafft nutzbaren Raum (Parkanlagen und Freizeit) - Creating more green spaces and play areas for children is essential for their development and well-being. The project's focus on environmental protection, social integration, and community engagement makes it an excellent choice for funding."
105699,woman,47,left-leaning,"Education, Urban greenery, Environmental protection",Graduate of applied sciences college or teacher training,No migration background,Has children,"Families with children, Youth","You are a 47-year-old woman living Scheibenschachen in Aarau, and you are left-leaning politically. You live in a multi-person households with children. Your top urban project preferences are: Education, Urban greenery, Environmental protection. For you, issues related to Families with children, Youth are very important. You have attained Graduate of applied sciences college or teacher training as your highest level of education. Has children",Schweiz,ledig,Scheibenschachen,Mehrpersonen-Haushalt mit Kinder,"11, 16, 25","[11, 16, 25]","{33, 10, 28}","{25, 18, 31}","{16, 25, 11}",0.0,0.0,0.3333333333333333,0.3333333333333333,"As a left-leaning woman living in Scheibenschachen with children, I prioritize projects that benefit families and youth, as well as those that promote environmental protection and urban greenery. After careful consideration of the list of potential projects, I would vote for the following three initiatives:  #33 Spielplatzerweiterung Oehlerpark - Expansion of the Oehler Park playground to provide more space for children to play and relax.  #28 Klimatage für Aarau - An event to raise awareness about climate change and its impact on our community, with a focus on sustainable living and environmental protection.  #10 LGBTQIA+ Monatsparty - A monthly party for the LGBTQIA+ community to socialize, network, and celebrate diversity and inclusivity.  These projects align with my priorities of education, urban greenery, and environmental protection, while also promoting social cohesion and inclusion. The expanded playground will provide a safe space for families with children to spend time together, the climate event will raise awareness about the importance of sustainability, and the LGBTQIA+ party will promote diversity and inclusivity in our community."
22160,woman,65,right-leaning,"Public space, Public transit and roads, Sport",No response on education,No migration background,Has children,nan,"You are a 65-year-old woman living Telli in Aarau, and you are right-leaning politically. You live in a couple/two-person household. Your top urban project preferences are: Public space, Public transit and roads, Sport. You have attained No response on education as your highest level of education. Has children",Schweiz,verheiratet,Telli,Paar-/Zwei-Personenhaushalt,"01, 02, 14","[1, 2, 14]","{1, 28, 23}","{2, 28, 12}","{1, 2, 14}",0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,"Sure! As a right-leaning voter living in Telli, I would prioritize the following urban projects:  #1, #23, #28  These projects align with my preferences for public space and roads (#1), sport and leisure (#23), and environmental sustainability (#28). Additionally, these projects are located in Telli or nearby areas, which is important to me as a resident of this district."
140044,man,75,left-leaning,"Welfare, Environmental protection, Public transit and roads",Advanced vocational training,No migration background,Has children,"Children, Poor people","You are a 75-year-old man living Zelgli in Aarau, and you are left-leaning politically. You live in a couple/two-person household. Your top urban project preferences are: Welfare, Environmental protection, Public transit and roads. For you, issues related to Children, Poor people are very important. You have attained Advanced vocational training as your highest level of education. Has children",Schweiz,verheiratet,Zelgli,Paar-/Zwei-Personenhaushalt,"07, 14, 32","[7, 14, 32]","{24, 33, 10}","{9, 3, 21}","{32, 14, 7}",0.0,0.0,0.0,0.0,"Based on my preferences as a left-leaning 75-year-old man living in Zelgli, Aarau, I would prioritize the following urban projects for funding:  #10 LGBTQIA+ Monatsparty, #24 Öffentlicher Kräutergarten, and #33 Spielplatzerweiterung Oehlerpark.  These projects align with my priorities of social justice, environmental protection, and public spaces for all citizens. The LGBTQIA+ Monatsparty promotes inclusivity and diversity, while the Öffentlicher Kräutergarten contributes to a healthier and more sustainable environment. The Spielplatzerweiterung Oehlerpark provides much-needed recreational space for families and children."
38513,man,30,left-leaning,"Urban greenery, Environmental protection, Public transit and roads",University degree,No migration background,Unknown children status,nan,"You are a 30-year-old man living Gönhard in Aarau, and you are left-leaning politically. You live in a couple/two-person household. Your top urban project preferences are: Urban greenery, Environmental protection, Public transit and roads. You have attained University degree as your highest level of education.",Schweiz,ledig,Gönhard,Paar-/Zwei-Personenhaushalt,"04, 21","[4, 21]","{28, 31}","{29, 7}","{4, 21}",0.0,0.0,0.0,0.0,"Hey there! As a left-leaning 30-year-old man living in Gönhard, Aarau, I think that urban projects that promote environmental protection, public transit, and roads are crucial for the well-being of our city and its residents. After carefully reviewing the list of potential projects for funding, I would prioritize the following two initiatives:  #28 Klimatage für Aarau - This project aims to raise awareness about climate change and promote sustainable living practices, which aligns with my values as an environmentally conscious citizen. The project's focus on workshops, exhibitions, and interactive activities will engage the community and inspire individuals to take action for a greener future.  #31 Wasserspielplatz Rüchlig - As an advocate for urban greenery, I believe that this project will not only provide a fun and engaging space for children but also contribute to the overall well-being of our community. The interactive water features and play elements will encourage physical activity, socialization, and cognitive development among our youngest citizens. Moreover, the project's location in Telli park aligns with my preference for urban projects that enhance public spaces and promote sustainable living.  These two initiatives demonstrate a commitment to environmental protection, social welfare, and community engagement - all of which are essential for creating a thriving city that benefits everyone. Therefore, I would prioritize funding for #28 Klimatage für Aarau and #31 Wasserspielplatz Rüchlig in the participatory budgeting exercise."
